"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","celltype"
"ARPC3",8.52262622873314e-16,2.47075004119479,0.526,0.109,2.31133623323243e-11,"COPD","ARPC3","Epithelial"
"HNRNPA1",6.324485138373e-15,2.2794073578108,0.53,0.109,1.71520036952676e-10,"COPD","HNRNPA1","Epithelial"
"CLIC1",1.19512254000535e-14,2.24751622504199,0.53,0.139,3.24117232849451e-10,"COPD","CLIC1","Epithelial"
"UBB",2.62417156676006e-14,1.93898220714102,0.636,0.285,7.11675328905329e-10,"COPD","UBB","Epithelial"
"PRDX1",2.97172375726345e-14,1.91956596607744,0.628,0.277,8.05931482969847e-10,"COPD","PRDX1","Epithelial"
"CLDN7",6.44328650198267e-14,2.463084937669,0.47,0.102,1.7474192993377e-09,"COPD","CLDN7","Epithelial"
"AES",1.49318376217047e-13,2.52972592936152,0.458,0.095,4.04951436300632e-09,"COPD","AES","Epithelial"
"HLA-C",1.51938261020126e-13,1.22327903564722,0.783,0.526,4.12056563886582e-09,"COPD","HLA-C","Epithelial"
"CTSD",9.00674285295775e-13,2.06166164155936,0.474,0.109,2.44262866172214e-08,"COPD","CTSD","Epithelial"
"RARRES3",1.40634692283909e-12,2.87328743306497,0.372,0.044,3.81401285473962e-08,"COPD","RARRES3","Epithelial"
"NDUFC2",1.44247733908987e-12,2.34622934959686,0.443,0.095,3.91199854361174e-08,"COPD","NDUFC2","Epithelial"
"MTRNR2L1",1.60694639937097e-12,2.87453801943029,0.364,0.036,4.35803863509407e-08,"COPD","MTRNR2L1","Epithelial"
"UQCR11",1.90288586143424e-12,1.96710849704841,0.482,0.117,5.16062645620967e-08,"COPD","UQCR11","Epithelial"
"BTG1",2.82105914916551e-12,1.98411672290059,0.474,0.109,7.65071241253687e-08,"COPD","BTG1","Epithelial"
"MUC1",3.17635973208529e-12,1.79877673216397,0.522,0.153,8.61428759341531e-08,"COPD","MUC1","Epithelial"
"IER3",3.26608976152696e-12,2.45694907133191,0.407,0.073,8.85763543326111e-08,"COPD","IER3","Epithelial"
"ADIRF",3.44586233850489e-12,1.87910099269466,0.522,0.175,9.34517866202527e-08,"COPD","ADIRF","Epithelial"
"MIF",1.23511643986821e-11,2.37664111453783,0.419,0.088,3.34963578492258e-07,"COPD","MIF","Epithelial"
"TSTD1",1.24269978634647e-11,1.82568538426596,0.462,0.109,3.37020182057163e-07,"COPD","TSTD1","Epithelial"
"NDUFA11",1.28784861086523e-11,2.02079811895114,0.435,0.095,3.49264543266651e-07,"COPD","NDUFA11","Epithelial"
"H2AFJ",1.74660057131491e-11,2.08341181277819,0.391,0.073,4.73678074940604e-07,"COPD","H2AFJ","Epithelial"
"MTRNR2L12",1.79456378231285e-11,2.10239727688162,0.447,0.109,4.86685697763246e-07,"COPD","MTRNR2L12","Epithelial"
"TMBIM4",1.93009308007844e-11,2.44547990719776,0.411,0.095,5.23441243317273e-07,"COPD","TMBIM4","Epithelial"
"ARL6IP4",2.05814520101146e-11,1.84131910417027,0.451,0.109,5.58168978514307e-07,"COPD","ARL6IP4","Epithelial"
"HIGD2A",2.22591008736798e-11,2.3309006513357,0.411,0.102,6.03666815694197e-07,"COPD","HIGD2A","Epithelial"
"BLOC1S1",2.42441373563409e-11,2.66325231684494,0.36,0.058,6.57501005103965e-07,"COPD","BLOC1S1","Epithelial"
"NEDD8",2.62390294889653e-11,2.53389881364143,0.407,0.088,7.11602479740738e-07,"COPD","NEDD8","Epithelial"
"WDR83OS",2.76534790929571e-11,1.77298653801472,0.455,0.109,7.49962353000996e-07,"COPD","WDR83OS","Epithelial"
"LY6E",3.37824365809737e-11,1.1657715447944,0.719,0.474,9.16179680076007e-07,"COPD","LY6E","Epithelial"
"B2M",3.47736199625696e-11,0.611538782493458,0.972,0.927,9.43060573384889e-07,"COPD","B2M","Epithelial"
"CXCL17",3.60592853856966e-11,1.0415948959305,0.798,0.584,9.77927819660093e-07,"COPD","CXCL17","Epithelial"
"STARD10",3.82216029981349e-11,2.23274254821401,0.439,0.109,1.03656987330942e-06,"COPD","STARD10","Epithelial"
"KRT7",4.61332001922071e-11,0.952813574756633,0.783,0.606,1.25113238921266e-06,"COPD","KRT7","Epithelial"
"FKBP1A",5.34328332154465e-11,2.28995668605602,0.391,0.08,1.44909843680291e-06,"COPD","FKBP1A","Epithelial"
"H2AFZ",5.90261221220358e-11,2.82626558040687,0.383,0.088,1.60078843194961e-06,"COPD","H2AFZ","Epithelial"
"GSTP1",6.56923423332248e-11,0.862963062305926,0.866,0.708,1.78157632407706e-06,"COPD","GSTP1","Epithelial"
"LGALS3",7.06711403395671e-11,0.896170248421036,0.806,0.606,1.91660132600906e-06,"COPD","LGALS3","Epithelial"
"CALR",7.44578998517567e-11,1.46885382896976,0.593,0.263,2.01929824397964e-06,"COPD","CALR","Epithelial"
"GSN",7.76969615936138e-11,1.29316635088677,0.719,0.46,2.10714159841881e-06,"COPD","GSN","Epithelial"
"TMEM205",8.15202025632942e-11,2.32670264155849,0.407,0.095,2.21082789351654e-06,"COPD","TMEM205","Epithelial"
"SUMO2",1.47694377012057e-10,1.66780810244912,0.545,0.226,4.00547150456699e-06,"COPD","SUMO2","Epithelial"
"S100A6",1.50047479704806e-10,0.594787238796671,0.941,0.869,4.06928764959435e-06,"COPD","S100A6","Epithelial"
"H2AFY",1.65475706731302e-10,2.25011468958015,0.387,0.08,4.48770116655291e-06,"COPD","H2AFY","Epithelial"
"HINT1",2.17632258838197e-10,0.972648585535724,0.767,0.562,5.90218685969189e-06,"COPD","HINT1","Epithelial"
"PRDX2",2.31492423011478e-10,2.31105401665021,0.403,0.102,6.27807451207129e-06,"COPD","PRDX2","Epithelial"
"SLPI",2.39218050415029e-10,0.853911741491058,0.893,0.745,6.48759352725558e-06,"COPD","SLPI","Epithelial"
"HLA-DRB1",2.41582459649197e-10,0.929472735354792,0.806,0.555,6.55171630568623e-06,"COPD","HLA-DRB1","Epithelial"
"KDELR2",2.86460024248335e-10,2.23268389614643,0.383,0.088,7.76879585761483e-06,"COPD","KDELR2","Epithelial"
"ARPC1B",3.00804429692271e-10,2.19592459440746,0.348,0.058,8.1578161332544e-06,"COPD","ARPC1B","Epithelial"
"ACTG1",3.40640514289168e-10,0.803544670453931,0.834,0.679,9.23817074752223e-06,"COPD","ACTG1","Epithelial"
"MINOS1",3.89713651338733e-10,2.53193084653195,0.387,0.095,1.05690342243064e-05,"COPD","MINOS1","Epithelial"
"CYR61",3.94166312062443e-10,2.79943694785333,0.324,0.051,1.06897903831334e-05,"COPD","CYR61","Epithelial"
"PPIB",4.10821620683334e-10,1.38296277271001,0.49,0.153,1.1141482352932e-05,"COPD","PPIB","Epithelial"
"UBA52",4.4718220384781e-10,0.771991399744409,0.846,0.693,1.21275813683526e-05,"COPD","UBA52","Epithelial"
"DDT",6.48358382873213e-10,1.47210614999513,0.494,0.175,1.75834793435215e-05,"COPD","DDT","Epithelial"
"FXYD3",6.98465788529654e-10,1.00771544595297,0.783,0.577,1.89423921849242e-05,"COPD","FXYD3","Epithelial"
"SRSF9",9.11998703066752e-10,2.19061151452383,0.419,0.131,2.47334048271703e-05,"COPD","SRSF9","Epithelial"
"FAU",1.06439779911818e-09,0.705848310355399,0.85,0.701,2.8866468312085e-05,"COPD","FAU","Epithelial"
"H2AFV",1.43138918582255e-09,2.29189496680477,0.332,0.058,3.88192747195075e-05,"COPD","H2AFV","Epithelial"
"EEF1B2",1.54599131785154e-09,0.980916573399883,0.719,0.511,4.19272845401338e-05,"COPD","EEF1B2","Epithelial"
"NDUFB8",1.61968991320744e-09,2.01413483671924,0.395,0.102,4.39259904461857e-05,"COPD","NDUFB8","Epithelial"
"TPT1",1.70059761008389e-09,0.578600651292724,0.921,0.818,4.61202071854752e-05,"COPD","TPT1","Epithelial"
"CD63",2.01958566226055e-09,0.68276905376275,0.862,0.715,5.47711631605062e-05,"COPD","CD63","Epithelial"
"FAM96B",2.11625565984967e-09,2.17853984688324,0.383,0.102,5.73928534951231e-05,"COPD","FAM96B","Epithelial"
"VAMP2",2.20431465853224e-09,1.92274335239516,0.379,0.088,5.97810135393944e-05,"COPD","VAMP2","Epithelial"
"PPP1CA",2.21555190373131e-09,1.86098151993147,0.439,0.146,6.00857676291932e-05,"COPD","PPP1CA","Epithelial"
"CD74",2.52666786746778e-09,0.634739775894713,0.913,0.781,6.85232325657263e-05,"COPD","CD74","Epithelial"
"CNPY2",2.69482271902435e-09,2.14723097805755,0.336,0.066,7.30835921399402e-05,"COPD","CNPY2","Epithelial"
"DDIT4",2.76237854011288e-09,2.09462656618353,0.379,0.102,7.49157060078613e-05,"COPD","DDIT4","Epithelial"
"ZFP36L2",2.96510845485874e-09,1.43766873310142,0.605,0.35,8.04137412957691e-05,"COPD","ZFP36L2","Epithelial"
"SPCS1",3.06838801166179e-09,1.2802245155021,0.625,0.343,8.32146828762677e-05,"COPD","SPCS1","Epithelial"
"NPDC1",3.26283573247842e-09,2.85948588419311,0.249,0.015,8.84881050648147e-05,"COPD","NPDC1","Epithelial"
"MTRNR2L8",3.38789770467141e-09,1.3199379981289,0.565,0.241,9.18797857506886e-05,"COPD","MTRNR2L8","Epithelial"
"WFDC2",3.70747441686311e-09,0.87617149382314,0.854,0.737,0.000100546706185327,"COPD","WFDC2","Epithelial"
"CSTB",3.93882613341893e-09,0.960126076555211,0.818,0.606,0.000106820964738321,"COPD","CSTB","Epithelial"
"PLA2G16",4.4323441544105e-09,2.71540104007021,0.316,0.058,0.000120205173467613,"COPD","PLA2G16","Epithelial"
"TRAF4",5.42068459581843e-09,1.96596598113764,0.344,0.073,0.000147008966238596,"COPD","TRAF4","Epithelial"
"PCBP1",5.61448191993695e-09,1.60896479052678,0.439,0.146,0.00015226474966869,"COPD","PCBP1","Epithelial"
"SEPT7",5.71382366670557e-09,1.92621097443263,0.372,0.095,0.000154958897841055,"COPD","SEPT7","Epithelial"
"EIF6",6.90065262502549e-09,1.53658867984173,0.379,0.095,0.000187145699190691,"COPD","EIF6","Epithelial"
"PRELID1",7.14418452703194e-09,2.0711319601177,0.372,0.102,0.000193750284373106,"COPD","PRELID1","Epithelial"
"ARPC1A",7.35622463266123e-09,2.15422701914919,0.32,0.066,0.000199500812037773,"COPD","ARPC1A","Epithelial"
"S100A11",7.78007731655117e-09,0.785616580381949,0.846,0.73,0.000210995696824868,"COPD","S100A11","Epithelial"
"BAG1",8.16736322372872e-09,1.20251191123821,0.613,0.35,0.000221498890627523,"COPD","BAG1","Epithelial"
"CCT5",8.24133452133395e-09,2.01654276744091,0.348,0.08,0.000223504992218577,"COPD","CCT5","Epithelial"
"SEPT2",9.54541908239027e-09,1.8572494896391,0.375,0.102,0.000258871765514424,"COPD","SEPT2","Epithelial"
"TMEM179B",1.054014677648e-08,1.92305117764139,0.387,0.109,0.000285848780578138,"COPD","TMEM179B","Epithelial"
"PTMA",1.05961168877562e-08,0.556008401392517,0.901,0.803,0.000287366689995948,"COPD","PTMA","Epithelial"
"CST3",1.13294919012809e-08,0.764230722726971,0.834,0.679,0.000307255820362739,"COPD","CST3","Epithelial"
"TAGLN2",1.25923261572849e-08,0.993220098908791,0.704,0.489,0.000341503885385565,"COPD","TAGLN2","Epithelial"
"MCL1",1.27556402503425e-08,1.75167463850686,0.439,0.175,0.000345932963589289,"COPD","MCL1","Epithelial"
"KRT18",1.2926468448117e-08,0.954122954268866,0.751,0.569,0.000350565824312934,"COPD","KRT18","Epithelial"
"HLA-B",1.38152041638284e-08,0.742305924402605,0.842,0.752,0.000374668336923026,"COPD","HLA-B","Epithelial"
"GPR108",1.46748747799603e-08,2.21837580429462,0.273,0.036,0.000397982604032524,"COPD","GPR108","Epithelial"
"ACTB",1.50175480888055e-08,0.534632841566132,0.901,0.847,0.000407275904168406,"COPD","ACTB","Epithelial"
"SELENOH",1.68545190916869e-08,1.84334770414405,0.34,0.08,0.000457094557766549,"COPD","SELENOH","Epithelial"
"SOX2",1.76704010040679e-08,2.02222752428157,0.308,0.058,0.00047922127523032,"COPD","SOX2","Epithelial"
"KRT19",1.79025276156093e-08,0.791445688703295,0.854,0.723,0.000485516548935325,"COPD","KRT19","Epithelial"
"TUBB4B",2.15585758400835e-08,1.57211307190662,0.549,0.299,0.000584668576783065,"COPD","TUBB4B","Epithelial"
"CHMP1B",2.23113255635714e-08,2.40142909924501,0.296,0.058,0.000605083149284056,"COPD","CHMP1B","Epithelial"
"TRAPPC1",2.23739941481358e-08,1.64190396643678,0.364,0.102,0.000606782721297443,"COPD","TRAPPC1","Epithelial"
"ALDH1A1",2.436102573126e-08,1.06889214230279,0.672,0.46,0.000660671017831771,"COPD","ALDH1A1","Epithelial"
"HLA-DMA",2.43901327089515e-08,1.66117008020474,0.387,0.117,0.000661460399066764,"COPD","HLA-DMA","Epithelial"
"HLA-A",2.44725887392578e-08,0.801575731480946,0.767,0.642,0.000663696606608671,"COPD","HLA-A","Epithelial"
"CLU",2.99454117717319e-08,1.00465822726689,0.704,0.489,0.00081211956724937,"COPD","CLU","Epithelial"
"HMGN2",2.99690807756119e-08,1.5001515213442,0.53,0.263,0.000812761470634594,"COPD","HMGN2","Epithelial"
"PDIA6",3.09634183671821e-08,1.34649823468651,0.474,0.182,0.000839727906117979,"COPD","PDIA6","Epithelial"
"SPTSSA",3.24724983971589e-08,1.62504974844372,0.364,0.095,0.000880654156530949,"COPD","SPTSSA","Epithelial"
"SCPEP1",3.27270179246208e-08,1.32238057811001,0.557,0.292,0.000887556726115717,"COPD","SCPEP1","Epithelial"
"EIF4A1",3.31730424091783e-08,1.47210173815353,0.372,0.102,0.000899652910136916,"COPD","EIF4A1","Epithelial"
"PSMA7",3.31841817859946e-08,1.20373812064871,0.581,0.343,0.000899955010036175,"COPD","PSMA7","Epithelial"
"NACA",3.66283556738547e-08,0.830437556792845,0.783,0.62,0.00099336100587494,"COPD","NACA","Epithelial"
"C1QBP",3.6768847694999e-08,1.86074227346615,0.411,0.146,0.000997171149488372,"COPD","C1QBP","Epithelial"
"PHB",3.9596256621239e-08,1.97847210333503,0.356,0.095,0.001073850479568,"COPD","PHB","Epithelial"
"HSPA5",4.1850096698435e-08,1.10852354540054,0.644,0.387,0.00113497462246156,"COPD","HSPA5","Epithelial"
"PLPP2",4.79722140663731e-08,1.23172013955771,0.553,0.299,0.00130100644548004,"COPD","PLPP2","Epithelial"
"PIGR",5.01826133588108e-08,0.742288416942026,0.806,0.62,0.00136095247429095,"COPD","PIGR","Epithelial"
"TUBA1B",5.05173385303973e-08,1.31272637506595,0.439,0.161,0.00137003022094438,"COPD","TUBA1B","Epithelial"
"TSTA3",5.31200563279602e-08,2.04790894149163,0.296,0.058,0.00144061592761428,"COPD","TSTA3","Epithelial"
"FAM213A",6.65924030637908e-08,2.24099403988372,0.217,0.015,0.00180598597109001,"COPD","FAM213A","Epithelial"
"ANXA2",7.39608420382198e-08,0.590674129689305,0.913,0.781,0.00200581803607652,"COPD","ANXA2","Epithelial"
"TYMP",7.82972039930977e-08,2.07521635967123,0.352,0.109,0.00212342017229281,"COPD","TYMP","Epithelial"
"RNASET2",7.92092555558085e-08,1.99062786463373,0.269,0.044,0.00214815501067353,"COPD","RNASET2","Epithelial"
"HSD17B11",8.44495352251032e-08,1.49308894740257,0.431,0.153,0.0022902713953048,"COPD","HSD17B11","Epithelial"
"COX20",8.82959237647903e-08,1.65086058745501,0.348,0.095,0.00239458545250111,"COPD","COX20","Epithelial"
"ARHGDIA",9.87530577290895e-08,1.77958931686736,0.34,0.095,0.00267818292561291,"COPD","ARHGDIA","Epithelial"
"PQLC1",1.12179426856222e-07,2.15737447492065,0.213,0.015,0.00304230605634075,"COPD","PQLC1","Epithelial"
"AQP5",1.12841270003292e-07,1.4154525268571,0.561,0.307,0.00306025524248928,"COPD","AQP5","Epithelial"
"SARS",1.36248595344631e-07,1.95910691039796,0.3,0.073,0.0036950619057464,"COPD","SARS","Epithelial"
"PSMA2",1.38609569273036e-07,1.52367866234256,0.336,0.088,0.00375909151868473,"COPD","PSMA2","Epithelial"
"CHMP4A",1.53231502457883e-07,1.71503922309928,0.253,0.036,0.00415563834665778,"COPD","CHMP4A","Epithelial"
"EPRS",1.55318552803699e-07,1.85535333260391,0.285,0.058,0.00421223915203633,"COPD","EPRS","Epithelial"
"SYNJ2BP",1.68110206656847e-07,1.87764566589597,0.249,0.036,0.00455914880453368,"COPD","SYNJ2BP","Epithelial"
"ICAM1",1.71734810566763e-07,1.74373796224372,0.36,0.117,0.00465744806257062,"COPD","ICAM1","Epithelial"
"EID1",1.74907642523605e-07,0.994024075148473,0.625,0.401,0.00474349526524017,"COPD","EID1","Epithelial"
"SURF1",1.755782640854e-07,1.90666437229851,0.352,0.109,0.00476168252199604,"COPD","SURF1","Epithelial"
"PRSS8",1.91333173356546e-07,1.76448183337378,0.332,0.095,0.00518895566142952,"COPD","PRSS8","Epithelial"
"OST4",2.12561186858839e-07,0.930862209834662,0.684,0.482,0.00576465938761172,"COPD","OST4","Epithelial"
"ARL1",2.1810329242978e-07,1.85883950050995,0.443,0.204,0.00591496129069564,"COPD","ARL1","Epithelial"
"NUCB2",2.2895974364449e-07,1.32375318860423,0.589,0.372,0.00620938824763857,"COPD","NUCB2","Epithelial"
"CTGF",2.66593875160105e-07,2.33622852957713,0.253,0.044,0.00723002589434204,"COPD","CTGF","Epithelial"
"EDF1",2.69312477378149e-07,0.922475552040017,0.684,0.453,0.0073037543864954,"COPD","EDF1","Epithelial"
"TIMP1",2.76875239631993e-07,1.17113274844851,0.664,0.438,0.00750885649881965,"COPD","TIMP1","Epithelial"
"CD81",2.82153983676777e-07,1.03846721042676,0.636,0.423,0.0076520160373142,"COPD","CD81","Epithelial"
"PABPC1",3.28102271648708e-07,0.546751019324446,0.854,0.737,0.00889813360711297,"COPD","PABPC1","Epithelial"
"ADH1C",3.45725224691229e-07,2.94797739168696,0.17,0,0.00937606809362613,"COPD","ADH1C","Epithelial"
"SEPT9",3.52663081755667e-07,1.83190321791374,0.292,0.073,0.00956422277721368,"COPD","SEPT9","Epithelial"
"SCGB3A1",3.56083259364188e-07,0.80219207661504,0.881,0.723,0.00965697799395677,"COPD","SCGB3A1","Epithelial"
"LRP10",3.62780549032774e-07,1.40348184125179,0.431,0.175,0.00983860848976883,"COPD","LRP10","Epithelial"
"HLA-DRA",3.76415580592538e-07,0.683843441951548,0.802,0.672,0.0102083905456696,"COPD","HLA-DRA","Epithelial"
"TMEM59",3.95431183822546e-07,0.774015045266301,0.747,0.569,0.0107240937052674,"COPD","TMEM59","Epithelial"
"KIAA1324",4.03886286721684e-07,1.19762426010072,0.36,0.109,0.0109533960958921,"COPD","KIAA1324","Epithelial"
"STUB1",4.41105862073465e-07,1.55981683527595,0.34,0.102,0.0119627909794324,"COPD","STUB1","Epithelial"
"TMSB10",4.56429487060835e-07,0.539327176615954,0.905,0.781,0.0123783676890898,"COPD","TMSB10","Epithelial"
"MYL12B",4.68568856596771e-07,0.743316643307236,0.759,0.591,0.0127075873909044,"COPD","MYL12B","Epithelial"
"SMIM7",4.7966786070253e-07,1.92053557450803,0.289,0.073,0.0130085923822526,"COPD","SMIM7","Epithelial"
"LMAN2",4.82709931996724e-07,1.44296317395858,0.545,0.307,0.0130910933557511,"COPD","LMAN2","Epithelial"
"RAB5C",4.90099912549437e-07,1.54204459104477,0.324,0.095,0.0132915096283407,"COPD","RAB5C","Epithelial"
"NARS",4.98484116864534e-07,1.36049783723363,0.285,0.073,0.0135188892493662,"COPD","NARS","Epithelial"
"CCND1",5.03642499046048e-07,1.03367583581118,0.545,0.314,0.0136587845741288,"COPD","CCND1","Epithelial"
"PPP2CA",5.16749754633887e-07,1.92729857394751,0.261,0.051,0.014014253345671,"COPD","PPP2CA","Epithelial"
"TAF9",5.43437259113578e-07,1.94711440525512,0.209,0.022,0.0147380184671602,"COPD","TAF9","Epithelial"
"SSR4",5.64327870993665e-07,0.750011416074618,0.739,0.547,0.0153045718613482,"COPD","SSR4","Epithelial"
"FAM129B",5.644973694344e-07,1.63689907825527,0.328,0.102,0.0153091686590609,"COPD","FAM129B","Epithelial"
"EI24",5.65405119598715e-07,1.39780908908958,0.443,0.197,0.0153337868435172,"COPD","EI24","Epithelial"
"MARCH6",5.8649293969311e-07,1.50883823854808,0.32,0.088,0.0159056885244771,"COPD","MARCH6","Epithelial"
"SAA2",6.01132989116384e-07,1.869274405159,0.198,0.015,0.0163027266648363,"COPD","SAA2","Epithelial"
"H1F0",6.21894341011464e-07,1.62368163920862,0.269,0.058,0.0168657745282309,"COPD","H1F0","Epithelial"
"NDUFS7",6.3008553554405e-07,1.85415458658707,0.372,0.139,0.0170879197239546,"COPD","NDUFS7","Epithelial"
"ST6GALNAC1",6.40722090316079e-07,1.39003608887513,0.462,0.197,0.0173763830893721,"COPD","ST6GALNAC1","Epithelial"
"IDH3G",6.56107504989635e-07,1.76772099542184,0.324,0.095,0.0177936355353189,"COPD","IDH3G","Epithelial"
"TMEM238",6.56719560868583e-07,1.35734249254242,0.383,0.139,0.017810234490756,"COPD","TMEM238","Epithelial"
"NDUFA2",6.81616378820899e-07,1.20779311973319,0.53,0.27,0.0184854361936228,"COPD","NDUFA2","Epithelial"
"POLR2F",7.17003979433088e-07,1.68473742582529,0.289,0.073,0.0194451479222254,"COPD","POLR2F","Epithelial"
"ASNA1",7.34875467073211e-07,1.86173117375993,0.253,0.051,0.0199298226670255,"COPD","ASNA1","Epithelial"
"TMEM173",7.71613700163141e-07,2.24000223564996,0.249,0.051,0.0209261635484244,"COPD","TMEM173","Epithelial"
"GSTA1",8.14311201930524e-07,1.62847329672922,0.49,0.255,0.0220841197963558,"COPD","GSTA1","Epithelial"
"CYB5A",8.17907426826607e-07,0.594979821138553,0.826,0.715,0.0221816494155376,"COPD","CYB5A","Epithelial"
"AQP3",8.5105518946938e-07,1.21641487377745,0.577,0.365,0.0230806167384096,"COPD","AQP3","Epithelial"
"PDCD2",8.70668962177768e-07,1.16774393240454,0.292,0.073,0.0236125422542611,"COPD","PDCD2","Epithelial"
"MAGED2",9.00147930988843e-07,1.83678329804614,0.391,0.161,0.0244120118884174,"COPD","MAGED2","Epithelial"
"NDUFB7",9.19199886370669e-07,1.09850005033336,0.613,0.358,0.0249287009183726,"COPD","NDUFB7","Epithelial"
"HEXA",9.66741119364251e-07,2.08804201958124,0.257,0.058,0.0262180191571585,"COPD","HEXA","Epithelial"
"ARL6IP1",9.77771728517056e-07,1.72492793910012,0.296,0.08,0.0265171692773826,"COPD","ARL6IP1","Epithelial"
"GNB2L1",9.77853494269647e-07,4.73914830144928,0.158,0,0.0265193867645928,"COPD","GNB2L1","Epithelial"
"H1FX",9.88258106309762e-07,1.10410995969514,0.324,0.095,0.0268015598431207,"COPD","H1FX","Epithelial"
"KARS",1.00133587913116e-06,2.29237496302461,0.257,0.058,0.0271562290420369,"COPD","KARS","Epithelial"
"PTP4A2",1.01163192044983e-06,1.40585426791273,0.47,0.248,0.0274354576825993,"COPD","PTP4A2","Epithelial"
"LY6D",1.07009051523371e-06,3.07570988833252,0.198,0.022,0.0290208547731382,"COPD","LY6D","Epithelial"
"EIF3K",1.12159025732221e-06,1.20230169256578,0.66,0.467,0.0304175277785782,"COPD","EIF3K","Epithelial"
"DGUOK",1.21802959578589e-06,1.64034286072708,0.383,0.153,0.0330329626377133,"COPD","DGUOK","Epithelial"
"QARS",1.23569478379196e-06,1.63384328557738,0.281,0.073,0.0335120425364379,"COPD","QARS","Epithelial"
"SERF2",1.27460842736355e-06,0.599770693974005,0.889,0.818,0.0345673805500994,"COPD","SERF2","Epithelial"
"HIGD1A",1.40555187549263e-06,2.02443290630264,0.245,0.051,0.0381185668633602,"COPD","HIGD1A","Epithelial"
"PSMA1",1.40797495438349e-06,1.49615558415871,0.348,0.117,0.0381842807628802,"COPD","PSMA1","Epithelial"
"POLR2L",1.46831182756816e-06,0.746944307605486,0.727,0.584,0.0398206167636485,"COPD","POLR2L","Epithelial"
"VAMP8",1.47051148112909e-06,0.759712893562098,0.755,0.584,0.0398802713682209,"COPD","VAMP8","Epithelial"
"GCHFR",1.60682851392412e-06,2.27834739238229,0.241,0.051,0.0435771892976222,"COPD","GCHFR","Epithelial"
"FKBP3",1.66823187679532e-06,1.67131188925991,0.332,0.109,0.0452424484986891,"COPD","FKBP3","Epithelial"
"CD82",1.68501298989076e-06,1.12738728444417,0.498,0.248,0.0456975522858373,"COPD","CD82","Epithelial"
"NKX2-1",1.7541503975128e-06,1.21725392632772,0.36,0.124,0.0475725587805472,"COPD","NKX2-1","Epithelial"
"HIST1H4C",1.76979144733384e-06,1.26539452527413,0.34,0.102,0.0479967440516936,"COPD","HIST1H4C","Epithelial"
"CTBP1",1.77652148704759e-06,1.44959710223803,0.292,0.08,0.0481792627287306,"COPD","CTBP1","Epithelial"
"YBX1",1.79822823090592e-06,0.776116224883785,0.708,0.511,0.0487679496221686,"COPD","YBX1","Epithelial"
"PABPN1",1.83760550394492e-06,1.16301148329634,0.3,0.088,0.0498358612669863,"COPD","PABPN1","Epithelial"
