"","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","celltype"
"1","MTND1P23",3.84195632322988e-19,1.84625359362128,0.971,0.315,3.5180794051816e-14,"Normal","MTND1P23","Basal"
"2","COX1",6.82902263760014e-19,1.60648275974281,1,0.371,6.25333602925045e-14,"Normal","COX1","Basal"
"3","MTCO1P12",1.02391891585158e-18,1.6217691284248,1,0.371,9.37602551245291e-14,"Normal","MTCO1P12","Basal"
"4","MTATP8P1",1.15945866950559e-18,1.67496025840716,1,0.348,1.06171630366627e-13,"Normal","MTATP8P1","Basal"
"5","ND2",7.47836731192825e-18,1.60612457507759,1,0.36,6.8479409475327e-13,"Normal","ND2","Basal"
"6","ND4L",8.25841985003812e-18,1.54017774310049,1,0.371,7.56223505667991e-13,"Normal","ND4L","Basal"
"8","ND1",1.10814050271941e-17,1.56577819720322,1,0.36,1.01472425834017e-12,"Normal","ND1","Basal"
"9","SEPTIN9",1.26728782182866e-17,1.93616704746498,0.912,0.303,1.1604554584485e-12,"Normal","SEPTIN9","Basal"
"10","ND6",3.7662497408531e-17,1.82437689284093,0.931,0.292,3.44875488769918e-12,"Normal","ND6","Basal"
"11","MTATP6P1",5.11879008740476e-17,1.55856124757098,0.99,0.371,4.68727608303654e-12,"Normal","MTATP6P1","Basal"
"12","COX2",7.89244506368038e-17,1.50324067887951,1,0.371,7.22711194481213e-12,"Normal","COX2","Basal"
"13","CYTB",1.02813737515192e-16,1.52500425438445,1,0.36,9.41465394426615e-12,"Normal","CYTB","Basal"
"15","PARD3",3.58052217708482e-16,1.53857022967014,0.931,0.528,3.27868415755657e-11,"Normal","PARD3","Basal"
"16","MIR205HG",4.58424556122947e-15,1.79549502355669,0.863,0.236,4.19779366041782e-10,"Normal","MIR205HG","Basal"
"17","ND5",7.08626143132179e-15,1.50015593125994,0.922,0.326,6.48888959266136e-10,"Normal","ND5","Basal"
"19","PDE4D",1.62386285873779e-13,1.37767828978978,0.912,0.551,1.48697121974619e-08,"Normal","PDE4D","Basal"
"20","ND3",1.76667233558246e-13,1.30831962447317,1,0.36,1.61774185769286e-08,"Normal","ND3","Basal"
"21","AOPEP",4.60947399310273e-13,1.78039404254515,0.794,0.27,4.22089533548417e-08,"Normal","AOPEP","Basal"
"22","VMP1",4.65704461331079e-13,1.04463530372163,0.951,0.742,4.26445575240869e-08,"Normal","VMP1","Basal"
"24","ZFAND3",1.32817126453663e-12,1.48374803628582,0.873,0.449,1.21620642693619e-07,"Normal","ZFAND3","Basal"
"25","MACF1",1.69532892445724e-12,1.16182804265032,0.922,0.753,1.5524126961255e-07,"Normal","MACF1","Basal"
"26","NEDD4L",2.53715744615866e-12,1.01007974963611,0.98,0.787,2.32327507344749e-07,"Normal","NEDD4L","Basal"
"27","CYP4Z2P",2.62172440966678e-12,1.90915993638306,0.745,0.213,2.40071304193187e-07,"Normal","CYP4Z2P","Basal"
"28","NF1",3.52122250158502e-12,1.61156919985425,0.814,0.517,3.22438344470141e-07,"Normal","NF1","Basal"
"29","POLR2J3",3.83315708095105e-12,1.80150195302673,0.765,0.303,3.51002193902688e-07,"Normal","POLR2J3","Basal"
"30","H3-3B",3.87219752667928e-12,1.39974847727601,0.902,0.337,3.54577127518022e-07,"Normal","H3-3B","Basal"
"32","UBE2Q2P2",6.61696460117526e-12,2.27430431347205,0.667,0.18,6.05915448529619e-07,"Normal","UBE2Q2P2","Basal"
"33","ADAMTSL4-AS1",1.23112771952789e-11,2.0092173271634,0.696,0.191,1.12734365277169e-06,"Normal","ADAMTSL4-AS1","Basal"
"34","KIAA1217",1.49944295709013e-11,0.888122847625896,0.961,0.753,1.37303991580743e-06,"Normal","KIAA1217","Basal"
"35","CYRIB",2.08224496945939e-11,1.6793225158979,0.765,0.247,1.90671171853397e-06,"Normal","CYRIB","Basal"
"36","WWOX",3.71832627888585e-11,1.40289204016067,0.843,0.416,3.40487137357577e-06,"Normal","WWOX","Basal"
"37","LPP",4.14361675419742e-11,0.94712991998631,0.912,0.742,3.79430986181857e-06,"Normal","LPP","Basal"
"38","NPIPB4",6.22223647555042e-11,1.37357736193486,0.824,0.326,5.69770194066152e-06,"Normal","NPIPB4","Basal"
"39","SDK1",9.04078739281266e-11,1.7665263824142,0.725,0.27,8.27864901559856e-06,"Normal","SDK1","Basal"
"40","MYH9",1.12021972138492e-10,1.03091245207712,0.951,0.764,1.02578519887217e-05,"Normal","MYH9","Basal"
"41","JMJD1C",1.14661281970692e-10,1.00278450360434,0.941,0.719,1.04995335900562e-05,"Normal","JMJD1C","Basal"
"42","MRTFA",1.24273583029802e-10,1.41427653237672,0.804,0.281,1.1379731998039e-05,"Normal","MRTFA","Basal"
"43","LRMDA",1.29705462446447e-10,1.95957574969395,0.696,0.292,1.18771291962211e-05,"Normal","LRMDA","Basal"
"44","SPDYE16",1.31385388002824e-10,1.90749408105413,0.618,0.157,1.20309599794186e-05,"Normal","SPDYE16","Basal"
"45","PRKY",1.39871393593783e-10,3.637025841317,0.431,0.034,1.28080235113828e-05,"Normal","PRKY","Basal"
"46","CORO1C",1.42438954952237e-10,1.84352822520891,0.725,0.393,1.30431351049764e-05,"Normal","CORO1C","Basal"
"47","AKAP13",1.43467333614446e-10,1.14120348270093,0.863,0.629,1.31373037390748e-05,"Normal","AKAP13","Basal"
"48","SLC39A11",1.61473064525635e-10,1.76035773882571,0.745,0.371,1.47860885186124e-05,"Normal","SLC39A11","Basal"
"49","SYN3",2.2501492299816e-10,2.99076734058074,0.5,0.079,2.06046164989415e-05,"Normal","SYN3","Basal"
"50","NPIPB5",2.6796665916609e-10,1.38898854819217,0.794,0.348,2.45377069798389e-05,"Normal","NPIPB5","Basal"
"51","ADK",3.28540023920097e-10,1.13868192140729,0.882,0.64,3.00844099903633e-05,"Normal","ADK","Basal"
"52","IMMP2L",4.56657003537364e-10,1.30564315673554,0.804,0.506,4.18160818139164e-05,"Normal","IMMP2L","Basal"
"53","ZBTB20",4.88047323829913e-10,1.10767812721886,0.873,0.674,4.46904934431051e-05,"Normal","ZBTB20","Basal"
"54","SNHG31",4.96609347963347e-10,1.61609818114394,0.696,0.27,4.54745179930037e-05,"Normal","SNHG31","Basal"
"55","TCF12",4.98180761593466e-10,1.36483131805075,0.814,0.472,4.56184123391137e-05,"Normal","TCF12","Basal"
"56","NIBAN2",5.31146981171354e-10,2.01323304091933,0.637,0.213,4.86371290658609e-05,"Normal","NIBAN2","Basal"
"57","MTND2P28",5.69047384815038e-10,1.31191326697117,0.814,0.315,5.21076690275131e-05,"Normal","MTND2P28","Basal"
"58","DOCK5",6.08316184476892e-10,1.49983804042404,0.804,0.494,5.5703513012549e-05,"Normal","DOCK5","Basal"
"60","MAML2",8.03659601341451e-10,1.2459116759858,0.824,0.607,7.35911096948367e-05,"Normal","MAML2","Basal"
"63","FAM160A1",9.26539174139163e-10,1.41638809845207,0.755,0.315,8.48431921759232e-05,"Normal","FAM160A1","Basal"
"64","TRIO",9.52194419132039e-10,1.44510197975661,0.794,0.483,8.71924429599208e-05,"Normal","TRIO","Basal"
"65","TANC2",1.18953248840373e-09,1.46641117110626,0.755,0.483,0.00010892548996313,"Normal","TANC2","Basal"
"66","ANK3",1.21202823926996e-09,1.06789199257333,0.892,0.674,0.00011098542586995,"Normal","ANK3","Basal"
"67","GPCPD1",1.21371986079328e-09,1.63806711966413,0.725,0.382,0.000111140327652841,"Normal","GPCPD1","Basal"
"68","SMYD3",1.35925328921034e-09,1.38017522149219,0.804,0.483,0.000124466823692991,"Normal","SMYD3","Basal"
"69","GPHN",1.52745849627994e-09,1.66574918314005,0.696,0.36,0.000139869374504354,"Normal","GPHN","Basal"
"70","STEAP1B",1.59189251617974e-09,1.23394886609235,0.794,0.326,0.000145769597706578,"Normal","STEAP1B","Basal"
"71","PDXDC2P-NPIPB14P",1.6916963946927e-09,1.66988756388618,0.686,0.258,0.00015490863886201,"Normal","PDXDC2P-NPIPB14P","Basal"
"72","CAMK1D",1.74049737665955e-09,1.1856579260881,0.843,0.607,0.000159377344780715,"Normal","CAMK1D","Basal"
"73","MTSS2",1.95534327290698e-09,2.44264666611574,0.49,0.09,0.000179050783500092,"Normal","MTSS2","Basal"
"74","ABI1",2.06543373302176e-09,1.15832978447046,0.853,0.618,0.000189131766932803,"Normal","ABI1","Basal"
"75","FOXP1",2.31652063050338e-09,0.735633158549511,0.931,0.831,0.000212123794135194,"Normal","FOXP1","Basal"
"77","EXT1",3.19450484365092e-09,1.21997173235429,0.853,0.528,0.000292520808533115,"Normal","EXT1","Basal"
"78","XPR1",3.33640234250585e-09,1.2287677902853,0.804,0.562,0.00030551436250326,"Normal","XPR1","Basal"
"79","FHIT",3.48425975357434e-09,1.22913634412433,0.765,0.449,0.000319053665634802,"Normal","FHIT","Basal"
"80","CLASP1",4.15179996336444e-09,1.462778507015,0.725,0.427,0.000380180322645281,"Normal","CLASP1","Basal"
"81","PVT1",4.26125925983068e-09,1.40430514046026,0.745,0.461,0.000390203510422695,"Normal","PVT1","Basal"
"82","PTPRG",4.47610770126283e-09,1.81494927371575,0.657,0.337,0.000409877182204638,"Normal","PTPRG","Basal"
"83","BAIAP2L1",5.22589845543458e-09,1.35603867895409,0.765,0.404,0.000478535521564145,"Normal","BAIAP2L1","Basal"
"84","RFX2",5.2406997262297e-09,1.42172406381882,0.775,0.472,0.000479890873930854,"Normal","RFX2","Basal"
"86","MIR1244-2",5.75346909906922e-09,1.41749237696689,0.716,0.258,0.000526845165401769,"Normal","MIR1244-2","Basal"
"87","SEPTIN2",8.66380161856926e-09,1.54330630942204,0.647,0.236,0.000793344314212387,"Normal","SEPTIN2","Basal"
"88","EXOC4",8.70041738087696e-09,1.313165335263,0.794,0.472,0.000796697219566903,"Normal","EXOC4","Basal"
"90","ZSWIM6",9.72873286431364e-09,1.03774763916684,0.882,0.607,0.0008908600683852,"Normal","ZSWIM6","Basal"
"91","CYP24A1",1.12361905377577e-08,3.1316618182559,0.48,0.135,0.00102889796754248,"Normal","CYP24A1","Basal"
"92","PRKN",1.23231683736543e-08,2.21232861924973,0.48,0.101,0.00112843252797553,"Normal","PRKN","Basal"
"94","SPIDR",1.30539756770264e-08,1.17963598538828,0.794,0.483,0.00119535255274531,"Normal","SPIDR","Basal"
"95","PCCA",1.59930842479085e-08,1.48903515990264,0.686,0.371,0.00146448672458099,"Normal","PCCA","Basal"
"96","PEDS1-UBE2V1",1.63076963432107e-08,1.65764381867268,0.608,0.202,0.0014932957541478,"Normal","PEDS1-UBE2V1","Basal"
"97","DANT2",1.86952422318827e-08,2.05306891051775,0.578,0.213,0.0017119233311735,"Normal","DANT2","Basal"
"98","TOP1",1.87547487764025e-08,0.890120659340694,0.873,0.764,0.00171737234545518,"Normal","TOP1","Basal"
"99","MECOM",2.04540709426581e-08,0.849287132505491,0.863,0.708,0.0018729792762192,"Normal","MECOM","Basal"
"100","AFF1",2.20818954284625e-08,1.13747354227655,0.784,0.551,0.00202203916438432,"Normal","AFF1","Basal"
"101","EYA2",2.33501757915225e-08,1.1542430964111,0.814,0.629,0.00213817559722972,"Normal","EYA2","Basal"
"102","LOC101928626",2.40266817449656e-08,1.10924679361697,0.814,0.337,0.0022001232473865,"Normal","LOC101928626","Basal"
"103","PSD3",2.43009454609229e-08,1.16810163203363,0.814,0.573,0.00222523757585671,"Normal","PSD3","Basal"
"105","FGD4",2.61290829719163e-08,1.52356492043272,0.696,0.393,0.00239264012773838,"Normal","FGD4","Basal"
"106","MTCO2P12",2.90273529450542e-08,1.30028694798083,0.725,0.281,0.00265803470917861,"Normal","MTCO2P12","Basal"
"107","RERE",2.91787714631186e-08,1.21185597202868,0.794,0.596,0.00267190010287777,"Normal","RERE","Basal"
"108","DTX2P1-UPK3BP1-PMS2P11",3.00472861059942e-08,1.5824483525443,0.618,0.213,0.00275142998872589,"Normal","DTX2P1-UPK3BP1-PMS2P11","Basal"
"109","CHCHD3",3.39356287024398e-08,1.32302934882821,0.745,0.517,0.00310748552028241,"Normal","CHCHD3","Basal"
"110","TANC1",3.73434223323994e-08,1.18944524477059,0.755,0.494,0.00341953718297781,"Normal","TANC1","Basal"
"111","MACROD2",4.01863230800196e-08,1.53934801267385,0.716,0.427,0.00367986160443739,"Normal","MACROD2","Basal"
"113","SCHLAP1",4.59864778971907e-08,1.35652996450788,0.706,0.258,0.00421098178104575,"Normal","SCHLAP1","Basal"
"114","SEPTIN10",5.15426497142282e-08,2.65562906161806,0.402,0.067,0.00471976043433187,"Normal","SEPTIN10","Basal"
"115","NME1-NME2",6.34050870606948e-08,1.52952126200468,0.618,0.247,0.00580600382214782,"Normal","NME1-NME2","Basal"
"116","VPS37B",6.56208016021105e-08,1.36132357295581,0.745,0.494,0.00600889680270525,"Normal","VPS37B","Basal"
"117","SNHG5",6.80743027894518e-08,1.32128862012161,0.647,0.258,0.0062335639064301,"Normal","SNHG5","Basal"
"118","AGAP1",7.38201693373323e-08,1.46824203496,0.686,0.36,0.00675971290621952,"Normal","AGAP1","Basal"
"119","FTX",7.71685318129337e-08,0.97907320479061,0.814,0.584,0.00706632245811034,"Normal","FTX","Basal"
"120","TPM4",8.69379497520123e-08,0.903870487504121,0.853,0.798,0.00796090805879177,"Normal","TPM4","Basal"
"122","GAS5",9.78744493275802e-08,1.45866940429347,0.637,0.258,0.00896236332492652,"Normal","GAS5","Basal"
"124","FAM157A",1.33388849597782e-07,2.32030042330659,0.422,0.09,0.0122144169576689,"Normal","FAM157A","Basal"
"125","MCF2L2",1.55627231121626e-07,1.62366756251872,0.559,0.191,0.0142507855538073,"Normal","MCF2L2","Basal"
"126","MED13L",1.83321365403946e-07,1.05159037995391,0.804,0.596,0.0167867374300393,"Normal","MED13L","Basal"
"127","TBC1D5",1.96396151332381e-07,1.25521683493204,0.735,0.494,0.0179839955775061,"Normal","TBC1D5","Basal"
"129","BMS1P1",2.11396632239569e-07,1.7678893272917,0.461,0.124,0.0193575896141773,"Normal","BMS1P1","Basal"
"130","CERT1",2.14305412611288e-07,1.54342479089998,0.618,0.236,0.0196239466328157,"Normal","CERT1","Basal"
"131","IL6ST",2.20174631138826e-07,0.804422763615941,0.892,0.775,0.0201613909733823,"Normal","IL6ST","Basal"
"132","AMBRA1",2.31344141632831e-07,1.46040466718449,0.676,0.315,0.0211841830493183,"Normal","AMBRA1","Basal"
"133","EEF1B2P6",2.31689070857531e-07,1.81123058399259,0.51,0.18,0.0212157682184241,"Normal","EEF1B2P6","Basal"
"134","FAF1",2.32627869732901e-07,0.937908314536037,0.814,0.697,0.0213017340314418,"Normal","FAF1","Basal"
"135","MCC",2.42724243545432e-07,1.53111031086449,0.667,0.404,0.0222262589814552,"Normal","MCC","Basal"
"136","DTNB",2.58670819712861e-07,1.55882732515474,0.647,0.337,0.0236864869611067,"Normal","DTNB","Basal"
"137","SLC22A23",2.69045312805458e-07,1.38917681482738,0.706,0.461,0.0246364792935958,"Normal","SLC22A23","Basal"
"138","ARMH4",2.8977676592064e-07,1.52098973086861,0.588,0.236,0.026534858455353,"Normal","ARMH4","Basal"
"139","SIK3",3.26825393439038e-07,1.02047753219417,0.804,0.506,0.0299274012772127,"Normal","SIK3","Basal"
"140","EFNA5",3.45358622910832e-07,1.08538667176492,0.794,0.596,0.0316244890999449,"Normal","EFNA5","Basal"
"142","DTWD2",3.54101371264491e-07,1.39392542755556,0.647,0.292,0.0324250625666894,"Normal","DTWD2","Basal"
"143","MICOS13",3.62340671230486e-07,1.64896464312302,0.441,0.112,0.0331795352645756,"Normal","MICOS13","Basal"
"144","CUX1",3.62744440297379e-07,0.913238819561174,0.824,0.652,0.033216508398031,"Normal","CUX1","Basal"
"145","SMG1P1",4.05218566461674e-07,1.21587508367492,0.657,0.27,0.0371058641308955,"Normal","SMG1P1","Basal"
"146","SH3D19",4.0628314998713e-07,1.57072560239676,0.667,0.416,0.0372033480443215,"Normal","SH3D19","Basal"
"147","EIF3EP3",4.21487527467537e-07,2.38808223624256,0.353,0.056,0.0385956128902024,"Normal","EIF3EP3","Basal"
"148","ZC3H11A",4.4816551069835e-07,1.44075300580322,0.608,0.258,0.0410385158146479,"Normal","ZC3H11A","Basal"
"149","MAST4",4.52942739940101e-07,0.948840369243646,0.804,0.685,0.0414759666963151,"Normal","MAST4","Basal"
"150","LOC102724788",4.57620033663251e-07,2.61804034758294,0.412,0.101,0.0419042664825439,"Normal","LOC102724788","Basal"
"151","CEP128",4.7707824482495e-07,1.85825821888542,0.431,0.101,0.0436860548786206,"Normal","CEP128","Basal"
"152","KIF13A",4.95660165268608e-07,1.25306099822384,0.706,0.438,0.0453876013336465,"Normal","KIF13A","Basal"
"153","MACROH2A1",5.27756836020282e-07,2.01000923686298,0.431,0.112,0.0483266934743773,"Normal","MACROH2A1","Basal"
"154","CSNK1A1",5.28728957244266e-07,0.718870219917332,0.882,0.82,0.0484157106148574,"Normal","CSNK1A1","Basal"
"1478","H3F3A",3.39953749068348e-20,5.74877882322331,0.618,0,3.11295648021886e-15,"COPD","H3F3A","Basal"
"1485","H3F3B",2.58516151556044e-19,5.72455835073313,0.596,0,2.3672323997987e-14,"COPD","H3F3B","Basal"
"1487","CTSD",7.02059709610007e-19,5.04670491047051,0.584,0,6.42876076089883e-14,"COPD","CTSD","Basal"
"1488","MTRNR2L12",1.88752382166517e-18,5.58866386363283,0.573,0,1.72840556349879e-13,"COPD","MTRNR2L12","Basal"
"1490","HNRNPA1",1.88752382166517e-18,5.26517951312848,0.573,0,1.72840556349879e-13,"COPD","HNRNPA1","Basal"
"1491","CALM2",1.88752382166517e-18,5.18244342562176,0.573,0,1.72840556349879e-13,"COPD","CALM2","Basal"
"1492","FTH1",2.25528150876338e-18,3.56308107989454,0.764,0.225,2.06516127757463e-13,"COPD","FTH1","Basal"
"1493","BTG1",2.70864627483258e-18,4.46402352879287,0.596,0.02,2.4803073938642e-13,"COPD","BTG1","Basal"
"1494","PRDX2",5.02447141178877e-18,4.60924182399591,0.562,0,4.60090847177497e-13,"COPD","PRDX2","Basal"
"1496","WDR83OS",1.32438784168079e-17,4.53365340270874,0.551,0,1.2127419466271e-12,"COPD","WDR83OS","Basal"
"1497","PCBP1",1.32438784168079e-17,4.50178774328846,0.551,0,1.2127419466271e-12,"COPD","PCBP1","Basal"
"1499","EEF1D",2.19377782680398e-17,3.41318295736274,0.697,0.137,2.0088423560044e-12,"COPD","EEF1D","Basal"
"1500","C19orf33",3.45711629859567e-17,4.87563315609819,0.539,0,3.16568139462405e-12,"COPD","C19orf33","Basal"
"1501","UQCR11",3.45711629859567e-17,4.77073125645652,0.539,0,3.16568139462405e-12,"COPD","UQCR11","Basal"
"1503","NEDD8",3.45711629859567e-17,4.32373306881407,0.539,0,3.16568139462405e-12,"COPD","NEDD8","Basal"
"1504","ADIRF",6.33175105388758e-17,4.44835481632324,0.618,0.078,5.79798444004485e-12,"COPD","ADIRF","Basal"
"1506","MIF",8.93786416870533e-17,4.66188800925502,0.528,0,8.18440221928347e-12,"COPD","MIF","Basal"
"1507","AES",8.93786416870533e-17,4.61158915340471,0.528,0,8.18440221928347e-12,"COPD","AES","Basal"
"1508","NKX2-1",8.93786416870533e-17,4.59171489565717,0.528,0,8.18440221928347e-12,"COPD","NKX2-1","Basal"
"1509","TSTD1",8.93786416870533e-17,4.28172953037968,0.528,0,8.18440221928347e-12,"COPD","TSTD1","Basal"
"1510","HIGD2A",2.28887073984524e-16,4.53524422858945,0.517,0,2.09591893647628e-11,"COPD","HIGD2A","Basal"
"1511","NDUFC2",2.28887073984524e-16,4.45276855541208,0.517,0,2.09591893647628e-11,"COPD","NDUFC2","Basal"
"1512","HIST1H4C",2.28887073984524e-16,4.31277111444698,0.517,0,2.09591893647628e-11,"COPD","HIST1H4C","Basal"
"1513","PPIB",4.05401473402162e-16,4.29516613352171,0.539,0.02,3.7122612919436e-11,"COPD","PPIB","Basal"
"1514","NDUFA11",5.80661728437015e-16,4.45662849444002,0.506,0,5.31711944729775e-11,"COPD","NDUFA11","Basal"
"1515","H1FX",5.80661728437015e-16,4.37213623855267,0.506,0,5.31711944729775e-11,"COPD","H1FX","Basal"
"1516","ARL6IP4",5.80661728437015e-16,4.13112803672382,0.506,0,5.31711944729775e-11,"COPD","ARL6IP4","Basal"
